0,1,2,3,4,5,6,8,9
ห้วยคำผักหนาม อ.บ้านม่วง,สกลนคร,2.91,1.94 (67%),1.50 (61%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยใหญ่,ขอนแก่น,1.255,0.93 (67%),0.56 (64%),0.04,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ต๊าก,เชียงราย,9,8.66 (67%),7.21 (95%),0.62,0.76,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยเกี๋ยง,ลำปาง,11.6,7.71 (66%),7.11 (65%),0.09,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยบังพวน อ.ท่าบ่อ,อุดรธานี,8.62,5.73 (66%),5.47 (67%),1.2,0.81,27/08/2025,แหล่งน้ำขนาดกลาง
บางกำปรัด,กระบี่,16,10.6 (66%),9.10 (67%),0.19,0.1,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยสะแบก,อำนาจเจริญ,30.3,20.04 (66%),19.43 (65%),0.29,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยตลาด,บุรีรัมย์,27.82,20.4 (66%),17.46 (65%),0.08,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยลิ้นควาย อ.นาด้วง,เลย,29,19.11 (66%),17.11 (63%),1.13,0.35,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหมากไฟ,มุกดาหาร,1.5,0.99 (66%),0.69 (57%),0.07,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแร้ง,ตราด,36.8,24.19 (66%),21.68 (65%),1.39,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยยาง,สุพรรณบุรี,1.6,1.05 (66%),0.90 (62%),,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแก้ว,สุรินทร์,4.919,3.22 (65%),2.78 (62%),,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ฟ้า,ลำปาง,23.5,13.01 (65%),11.91 (52%),0.76,0.11,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ไฮ,ลำปาง,1.225,0.79 (64%),0.68 (61%),0.04,0.03,27/08/2025,แหล่งน้ำขนาดกลาง
ลำตะเพิน,สุพรรณบุรี,50,32.18 (64%),27.38 (61%),0.02,0.13,27/08/2025,แหล่งน้ำขนาดกลาง
อ่างฯ ห้วยน้ำม้า อ.บ้านผือ,อุดรธานี,0,3.45 (64%),3.17 (--%),,0.05,27/08/2025,แหล่งน้ำขนาดกลาง
แม่พริก,ลำปาง,4.2,2.68 (64%),2.28 (60%),0,0,27/08/2025,แหล่งน้ำขนาดกลาง
